Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Remodeling of Epithelial Adherens Junctions	-0E00	1.45E-02	NaN	ACTN2
Role of p14/p19ARF in Tumor Suppression	-0E00	3.33E-02	NaN	PIK3R1
Oxidative Phosphorylation	-0E00	9.17E-03	NaN	COX6B2
Adipogenesis pathway	-0E00	2.99E-02	NaN	DDIT3,FGF1,FZD4,LPL
Cell Cycle: G1/S Checkpoint Regulation	-0E00	2.99E-02	NaN	CCNE2,CDKN2B
Interferon Signaling	-0E00	2.78E-02	NaN	SOCS1
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	2.04E-02	NaN	CCNB3
Death Receptor Signaling	-0E00	1.1E-02	NaN	CASP8
Apoptosis Signaling	-0E00	3.03E-02	NaN	CAPN6,CASP8,RASD1
Sirtuin Signaling Pathway	-0E00	2.05E-02	NaN	APP,ARG2,ATG14,GADD45B,JUN,PFKFB3
Th17 Activation Pathway	-0E00	2.2E-02	NaN	IL6R,PTGER4
NER Pathway	-0E00	1.94E-02	NaN	ERCC4,POLR2A
Apelin Adipocyte Signaling Pathway	-0E00	1.23E-02	NaN	ADCY2
PFKFB4 Signaling Pathway	-0E00	2.17E-02	NaN	ATF2
IL-23 Signaling Pathway	-0E00	2.22E-02	NaN	PIK3R1
Calcium Signaling	-0E00	3.4E-02	NaN	ATF2,CACNA1S,CAMK4,MEF2D,MICU1,MYH4,RYR3
